title,lang,source_name,format,category,license,text,sentences,cefr_level
0002.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,My family is very small. I have a big borther. He is twenty three years old. He is a student.,He is a student.,A1
0423.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I haven't many hobbies. I'm working like teacher in a primary school and prepare some activities for my students is my favorite hobby. Also, i like to go shopping with my daughter and my friends, to walk outside when the weather is good. I don't like sport very much, but roll on my bicycle when the sun is, is very enjoy for me!","I don't like sport very much, but roll on my bicycle when the sun is, is very enjoy for me!",A1
0430.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My family is happy , it is a beautiful family. In my family we are strongh serious , enjoy , every body is happy. their . My mather wonderfull woman. My family is wonderful family","My family is happy , it is a beautiful family.",A1
0434.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I usually get up at 7:00 in the morning. I have lunch and then take a shower. I share then work until 17:00. Go home, i eat dinner I then watch a little tv news. Then i go to bed.",I usually get up at 7:00 in the morning.,A1
0436.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"We are three at home.  My daughter have 15 years, she is called {name}.  My husband work as employee.  We live in the country.  I'm work at Brussels in the public sector and I take the train for at working.","My daughter have 15 years, she is called {name}.",A1
0002.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,My family is very small. I have a big borther. He is twenty three years old. He is a student.,I have a big borther.,A1
0439.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like travelling. My favourite country is South Africa with the bush, animals and beautiful landscape. People is fantastict with a very good bevahiour. I like gardening. It is a moment where i don't never thing. I like cooking.",It is a moment where i don't never thing.,A1
0439.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like travelling. My favourite country is South Africa with the bush, animals and beautiful landscape. People is fantastict with a very good bevahiour. I like gardening. It is a moment where i don't never thing. I like cooking.",I like travelling.,A1
0006.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I get up at 7 am on a weekly day, i go to my lessons. And when i come back at home in the evening, ik study a little bit, watch tv, play video games and then i go to sleep at 11 pm.","I get up at 7 am on a weekly day, i go to my lessons.",A1
0434.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I usually get up at 7:00 in the morning. I have lunch and then take a shower. I share then work until 17:00. Go home, i eat dinner I then watch a little tv news. Then i go to bed.",I share then work until 17:00.,A1
0433.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"My favorit hobbie's running in nature.  I like it, it's fun,  and after, i'm relaxed for any time!  I should like progress, step by step!   The running, is verry important for my self!  :-)","I should like progress, step by step!",A1
0009.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,In my daily life i go to class has the university. The rest of the time i ride horse. After horseriding i study for university and for work for the exams.,In my daily life i go to class has the university.,A1
0002.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,My family is very small. I have a big borther. He is twenty three years old. He is a student.,My family is very small.,A1
0439.xml,en,cefr-asag,document-level,learner,CC BY-NC-SA 4.0,"I like travelling. My favourite country is South Africa with the bush, animals and beautiful landscape. People is fantastict with a very good bevahiour. I like gardening. It is a moment where i don't never thing. I like cooking.","My favourite country is South Africa with the bush, animals and beautiful landscape.",A1
